state,month,deaths
Alabama,April,4044
Alabama,August,58883
Alabama,July,38436
Alabama,June,23697
Alabama,March,42
Alabama,May,14438
Alabama,October,50515
Alabama,September,71419
Alaska,April,173
Alaska,August,843
Alaska,July,496
Alaska,June,291
Alaska,March,8
Alaska,May,243
Alaska,October,1085
Alaska,September,1265
Arizona,April,4870
Arizona,August,138063
Arizona,February,0
Arizona,January,0
Arizona,July,79906
Arizona,June,37510
Arizona,March,118
Arizona,May,19864
Arizona,October,109312
Arizona,September,161423
Arkansas,April,1007
Arkansas,August,19077
Arkansas,July,10829
Arkansas,June,5895
Arkansas,March,36
Arkansas,May,3137
Arkansas,October,29402
Arkansas,September,32549
California,April,30176
California,August,349458
California,February,0
California,January,0
California,July,232621
California,June,155690
California,March,1113
California,May,99379
California,October,313878
California,September,438311
Colorado,April,11715
Colorado,August,58799
Colorado,July,54290
Colorado,June,48035
Colorado,March,344
Colorado,May,35594
Colorado,October,40533
Colorado,September,60271
Connecticut,April,29752
Connecticut,August,138000
Connecticut,July,135762
Connecticut,June,125398
Connecticut,March,283
Connecticut,May,101014
Connecticut,October,86049
Connecticut,September,134566
Delaware,April,1840
Delaware,August,18439
Delaware,July,16554
Delaware,June,13062
Delaware,March,31
Delaware,May,8381
Delaware,October,12410
Delaware,September,18572
District of Columbia,April,2651
District of Columbia,August,18495
District of Columbia,July,17731
District of Columbia,June,15437
District of Columbia,March,41
District of Columbia,May,11296
District of Columbia,October,12066
District of Columbia,September,18516
Florida,April,19495
Florida,August,287667
Florida,July,149112
Florida,June,89605
Florida,March,489
Florida,May,59664
Florida,October,289474
Florida,September,385716
Georgia,April,18051
Georgia,August,142202
Georgia,July,96401
Georgia,June,73197
Georgia,March,699
Georgia,May,48939
Georgia,October,136679
Georgia,September,188261
Guam,April,156
Guam,August,222
Guam,July,186
Guam,June,180
Guam,March,11
Guam,May,186
Guam,October,1121
Guam,September,873
Hawaii,April,274
Hawaii,August,1257
Hawaii,July,673
Hawaii,June,514
Hawaii,March,1
Hawaii,May,525
Hawaii,October,3172
Hawaii,September,3146
Idaho,April,1098
Idaho,August,8590
Idaho,July,3800
Idaho,June,2628
Idaho,March,34
Idaho,May,2266
Idaho,October,9616
Idaho,September,12732
Illinois,April,32642
Illinois,August,247518
Illinois,February,0
Illinois,January,0
Illinois,July,230706
Illinois,June,195076
Illinois,March,450
Illinois,May,125228
Illinois,October,175420
Illinois,September,258320
Indiana,April,16218
Indiana,August,97177
Indiana,July,86855
Indiana,June,73069
Indiana,March,313
Indiana,May,52744
Indiana,October,71856
Indiana,September,103916
Iowa,April,1947
Iowa,August,30669
Iowa,July,24212
Iowa,June,19631
Iowa,March,26
Iowa,May,10769
Iowa,October,27677
Iowa,September,37216
Kansas,April,2241
Kansas,August,12644
Kansas,July,9654
Kansas,June,7457
Kansas,March,60
Kansas,May,5676
Kansas,October,14638
Kansas,September,16808
Kentucky,April,3889
Kentucky,August,26308
Kentucky,July,20877
Kentucky,June,15726
Kentucky,March,84
Kentucky,May,10848
Kentucky,October,24594
Kentucky,September,33249
Louisiana,April,32872
Louisiana,August,139101
Louisiana,July,109304
Louisiana,June,91082
Louisiana,March,1137
Louisiana,May,75798
Louisiana,October,107222
Louisiana,September,157941
Maine,April,843
Maine,August,3951
