,States,Total positive,Total negative,Total test,Total Deaths,Population,Cases per 1 M,Deaths per 1 M,votes_dem,votes_gop,Party Score,Death Rate,state
0,Alabama,185322,1148993,1307694,2866,4903185.0,37796.24876483347,584.5180224690686,718084.0,1306925.0,0.5494454540237581,0.015464974476856498,AL
1,Alaska,14413,556423,570836,68,731545.0,19702.137257448278,92.95395361871108,2697087.0,3781977.0,0.7131420947298199,0.00471796295011448,AK
2,Arizona,238962,1481294,1714772,5875,7278717.0,32830.23642765614,807.1477432080407,936250.0,1021154.0,0.9168548524512463,0.02458549894962379,AZ
3,Arkansas,106727,1195429,1294839,1833,3017804.0,35365.78253591022,607.3953112925823,378729.0,677904.0,0.5586764497627983,0.017174660582607963,AR
4,California,900957,17081357,17982314,17357,39512223.0,22801.982060083028,439.28178882772556,7362490.0,3916209.0,1.8800043613606934,0.01926507036406843,CA
5,Colorado,95087,1061126,1842254,2076,5758736.0,16511.783141300453,360.49577546183747,1212209.0,1137455.0,1.0657204021257984,0.021832637479361008,CO
6,Connecticut,68099,2139838,2207937,4589,3565287.0,19100.56609748388,1287.1334060904494,884432.0,668266.0,1.3234729883010656,0.06738718630229519,CT
7,Delaware,24168,317893,342061,685,973764.0,24819.155360025634,703.4558681569662,235581.0,185103.0,1.2727022252475648,0.028343263819927175,DE
8,Florida,782011,5202712,5984723,16652,21477737.0,36410.30710079,775.3144570119282,4485745.0,4605515.0,0.9739942221445376,0.02129381811764796,FL
9,Georgia,351879,3109507,3461386,7827,10617423.0,33141.65782035811,737.1845315007229,1837300.0,2068623.0,0.8881753707659636,0.022243441637608382,GA
10,Hawaii,14877,295153,505253,212,1415872.0,10507.305745152105,149.73104913438502,266827.0,128815.0,2.071396964639211,0.01425018484909592,HI
11,Idaho,59344,318452,370714,573,1787065.0,33207.52183048742,320.6374698178298,189677.0,407199.0,0.4658091007099723,0.009655567538420059,ID
12,Illinois,383694,6947107,7330801,9792,12671821.0,30279.310290131147,772.73818814202,2977498.0,2118179.0,1.4056876213011271,0.02552033651816291,IL
13,Indiana,164581,1473651,2734944,4143,6732219.0,24446.768591455508,615.3988751702819,1031953.0,1556220.0,0.6631151122591922,0.02517301511110031,IN
14,Iowa,110404,755904,866308,1648,3155070.0,34992.5675183118,522.3338943351495,650790.0,798923.0,0.8145841338902498,0.014926995398717438,IA
15,Kansas,78676,547251,625927,976,2913314.0,27005.67120468305,335.01366485040745,414788.0,656009.0,0.6322901057759879,0.012405307844831969,KS
16,Kentucky,97866,1726972,1809864,1410,4467673.0,21905.36326181437,315.6005374610004,628834.0,1202942.0,0.5227467325939239,0.014407455091655938,KY
