state_x,date,Total positive,Total negaitive,Total test
Alabama,April,6038,73879,79917
Alabama,August,38335,257485,289359
Alabama,July,49678,233137,280879
Alabama,June,20142,168957,184836
Alabama,March,981,6288,7269
Alabama,May,10884,119473,134111
Alabama,October,19827,118084,133536
Alabama,September,28643,135246,155658
Alaska,April,236,15170,15406
Alaska,August,2448,113076,115524
Alaska,July,2737,118184,120921
Alaska,June,506,59984,60490
Alaska,March,119,3548,3667
Alaska,May,79,32497,32576
Alaska,October,3652,85666,89318
Alaska,September,2655,105922,108577
Arizona,April,6359,46056,52415
Arizona,August,27825,242861,268955
Arizona,July,94795,306592,401821
Arizona,June,59279,247871,306716
Arizona,March,1287,18055,19342
Arizona,May,12288,141132,153420
Arizona,October,14430,176034,189770
Arizona,September,16672,241047,254877
Arkansas,April,2732,39165,41897
Arkansas,August,18713,204853,224318
Arkansas,July,21734,170532,191514
Arkansas,June,13524,168164,181688
Arkansas,March,523,5947,6470
Arkansas,May,3998,77138,81136
Arkansas,October,16744,188127,201935
Arkansas,September,22473,283296,302682
California,April,41435,554648,596083
California,August,210497,3351767,3562264
California,July,264856,3379046,3643902
California,June,118149,2104142,2222291
California,March,7429,21310,28739
California,May,61666,1257845,1319511
California,October,63452,2420416,2483868
California,September,106540,3225357,3331897
Colorado,April,12131,43564,60752
Colorado,August,11019,172531,323979
Colorado,July,13693,188796,290010
Colorado,June,6413,136817,183325
Colorado,March,2625,12718,17107
Colorado,May,11340,98228,127629
Colorado,October,16349,171779,367270
Colorado,September,12802,184454,338378
Connecticut,April,24572,56404,80976
Connecticut,August,3069,376031,379100
Connecticut,July,3296,312342,315638
Connecticut,June,4313,223999,228312
Connecticut,March,3128,13029,16157
Connecticut,May,14501,138412,152913
Connecticut,October,6905,453364,460269
Connecticut,September,4671,416226,420897
Delaware,April,4415,13390,17805
Delaware,August,2641,53161,55802
Delaware,July,3314,66852,70166
Delaware,June,1976,48234,50210
Delaware,March,319,3679,3998
Delaware,May,4764,34087,38851
Delaware,October,2712,41452,44164
Delaware,September,3184,46529,49713
District of Columbia,April,3828,12494,16322
District of Columbia,August,1866,100075,101941
District of Columbia,July,1799,89647,91446
District of Columbia,June,1526,49286,50812
District of Columbia,March,495,3254,3749
District of Columbia,May,4478,21926,26404
District of Columbia,October,1119,84828,85947
District of Columbia,September,1334,95844,97178
Florida,April,27352,294430,321782
Florida,August,153085,834366,987451
Florida,July,317952,1365141,1683093
Florida,June,96271,827375,923646
Florida,March,6336,54261,60597
Florida,May,22473,616471,638944
Florida,October,53873,412890,466763
Florida,September,83045,602600,685645
Georgia,April,22226,110637,132863
Georgia,August,84119,684828,768947
Georgia,July,105061,635748,740809
Georgia,June,34305,334048,368353
