state abv.,month,deaths
AK,April,30
AK,August,31
AK,July,31
AK,June,30
AK,March,20
AK,May,31
AK,October,19
AK,September,30
AL,April,30
AL,August,31
AL,July,31
AL,June,30
AL,March,19
AL,May,31
AL,October,19
AL,September,30
AR,April,30
AR,August,31
AR,July,31
AR,June,30
AR,March,21
AR,May,31
AR,October,19
AR,September,30
AZ,April,30
AZ,August,31
AZ,February,29
AZ,January,6
AZ,July,31
AZ,June,30
AZ,March,31
AZ,May,31
AZ,October,19
AZ,September,30
CA,April,30
CA,August,31
CA,February,29
CA,January,7
CA,July,31
CA,June,30
CA,March,31
CA,May,31
CA,October,19
CA,September,30
CO,April,30
CO,August,31
CO,July,31
CO,June,30
CO,March,27
CO,May,31
CO,October,19
CO,September,30
CT,April,30
CT,August,31
CT,July,31
CT,June,30
CT,March,24
CT,May,31
CT,October,19
CT,September,30
DC,April,30
DC,August,31
DC,July,31
DC,June,30
DC,March,25
DC,May,31
DC,October,19
DC,September,30
DE,April,30
DE,August,31
DE,July,31
DE,June,30
DE,March,21
DE,May,31
DE,October,19
DE,September,30
FL,April,30
FL,August,31
FL,July,31
FL,June,30
FL,March,31
FL,May,31
FL,October,19
FL,September,30
GA,April,30
GA,August,31
GA,July,31
GA,June,30
GA,March,30
GA,May,31
GA,October,19
GA,September,30
HI,April,30
HI,August,31
HI,July,31
HI,June,30
HI,March,26
HI,May,31
HI,October,19
HI,September,30
IA,April,30
IA,August,31
IA,July,31
IA,June,30
IA,March,24
IA,May,31
IA,October,19
IA,September,30
ID,April,30
ID,August,31
ID,July,31
ID,June,30
ID,March,19
ID,May,31
ID,October,19
ID,September,30
IL,April,30
IL,August,31
IL,February,29
IL,January,8
IL,July,31
IL,June,30
IL,March,31
IL,May,31
IL,October,19
IL,September,30
IN,April,30
IN,August,31
IN,July,31
IN,June,30
IN,March,26
IN,May,31
IN,October,19
IN,September,30
KS,April,30
KS,August,31
KS,July,31
KS,June,30
KS,March,25
KS,May,31
KS,October,19
KS,September,30
KY,April,30
KY,August,31
KY,July,31
KY,June,30
KY,March,26
KY,May,31
KY,October,19
KY,September,30
LA,April,30
LA,August,31
LA,July,31
LA,June,30
LA,March,23
LA,May,31
LA,October,19
LA,September,30
MA,April,30
MA,August,31
MA,February,29
MA,July,31
MA,June,30
MA,March,31
MA,May,31
MA,October,19
MA,September,30
MD,April,30
MD,August,31
MD,July,31
MD,June,30
MD,March,27
MD,May,31
MD,October,19
MD,September,30
ME,April,30
ME,August,31
ME,July,31
ME,June,30
ME,March,20
ME,May,31
ME,October,19
ME,September,30
MI,April,30
MI,August,31
