,States,date,Total positive,Total negaitive,Total test,deaths
0,Alabama,April,6038.0,73879.0,79917.0,4044
1,Alabama,August,38335.0,257485.0,289359.0,58883
2,Alabama,July,49678.0,233137.0,280879.0,38436
3,Alabama,June,20142.0,168957.0,184836.0,23697
4,Alabama,March,981.0,6288.0,7269.0,42
5,Alabama,May,10884.0,119473.0,134111.0,14438
6,Alabama,October,19827.0,118084.0,133536.0,50515
7,Alabama,September,28643.0,135246.0,155658.0,71419
8,Alaska,April,236.0,15170.0,15406.0,173
9,Alaska,August,2448.0,113076.0,115524.0,843
10,Alaska,July,2737.0,118184.0,120921.0,496
11,Alaska,June,506.0,59984.0,60490.0,291
12,Alaska,March,119.0,3548.0,3667.0,8
13,Alaska,May,79.0,32497.0,32576.0,243
14,Alaska,October,3652.0,85666.0,89318.0,1085
15,Alaska,September,2655.0,105922.0,108577.0,1265
16,Arizona,April,6359.0,46056.0,52415.0,4870
17,Arizona,August,27825.0,242861.0,268955.0,138063
18,Arizona,February,0.0,0.0,0.0,0
19,Arizona,January,0.0,0.0,0.0,0
20,Arizona,July,94795.0,306592.0,401821.0,79906
21,Arizona,June,59279.0,247871.0,306716.0,37510
22,Arizona,March,1287.0,18055.0,19342.0,118
23,Arizona,May,12288.0,141132.0,153420.0,19864
24,Arizona,October,14430.0,176034.0,189770.0,109312
25,Arizona,September,16672.0,241047.0,254877.0,161423
26,Arkansas,April,2732.0,39165.0,41897.0,1007
27,Arkansas,August,18713.0,204853.0,224318.0,19077
28,Arkansas,July,21734.0,170532.0,191514.0,10829
29,Arkansas,June,13524.0,168164.0,181688.0,5895
30,Arkansas,March,523.0,5947.0,6470.0,36
31,Arkansas,May,3998.0,77138.0,81136.0,3137
32,Arkansas,October,16744.0,188127.0,201935.0,29402
33,Arkansas,September,22473.0,283296.0,302682.0,32549
34,California,April,41435.0,554648.0,596083.0,30176
35,California,August,210497.0,3351767.0,3562264.0,349458
36,California,February,0.0,0.0,0.0,0
37,California,January,0.0,0.0,0.0,0
38,California,July,264856.0,3379046.0,3643902.0,232621
39,California,June,118149.0,2104142.0,2222291.0,155690
40,California,March,7429.0,21310.0,28739.0,1113
41,California,May,61666.0,1257845.0,1319511.0,99379
42,California,October,63452.0,2420416.0,2483868.0,313878
43,California,September,106540.0,3225357.0,3331897.0,438311
44,Colorado,April,12131.0,43564.0,60752.0,11715
45,Colorado,August,11019.0,172531.0,323979.0,58799
46,Colorado,July,13693.0,188796.0,290010.0,54290
47,Colorado,June,6413.0,136817.0,183325.0,48035
48,Colorado,March,2625.0,12718.0,17107.0,344
49,Colorado,May,11340.0,98228.0,127629.0,35594
50,Colorado,October,16349.0,171779.0,367270.0,40533
51,Colorado,September,12802.0,184454.0,338378.0,60271
52,Connecticut,April,24572.0,56404.0,80976.0,29752
53,Connecticut,August,3069.0,376031.0,379100.0,138000
54,Connecticut,July,3296.0,312342.0,315638.0,135762
55,Connecticut,June,4313.0,223999.0,228312.0,125398
56,Connecticut,March,3128.0,13029.0,16157.0,283
57,Connecticut,May,14501.0,138412.0,152913.0,101014
58,Connecticut,October,6905.0,453364.0,460269.0,86049
59,Connecticut,September,4671.0,416226.0,420897.0,134566
60,Delaware,April,4415.0,13390.0,17805.0,1840
